"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Lat Pulldown (Cable)",,"Multi grip",0,"normal",170,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Lat Pulldown (Cable)",,"Multi grip",1,"normal",200,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Lat Pulldown (Cable)",,"Multi grip",2,"normal",200,7,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Lat Pulldown (Cable)",,"Multi grip",3,"normal",180,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Bent Over Row (Barbell)",,"",0,"normal",135,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Bent Over Row (Barbell)",,"",1,"normal",185,3,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Bent Over Row (Barbell)",,"",2,"normal",185,4,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Bent Over Row (Barbell)",,"",3,"normal",135,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Bicep Curl (Dumbbell)",,"",0,"normal",80,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Bicep Curl (Dumbbell)",,"",1,"normal",90,6,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Bicep Curl (Dumbbell)",,"",2,"normal",80,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Hammer Curl (Dumbbell)",,"",0,"normal",80,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Hammer Curl (Dumbbell)",,"",1,"normal",70,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Hammer Curl (Dumbbell)",,"",2,"normal",70,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Concentration Curl",,"",0,"normal",50,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Concentration Curl",,"",1,"normal",50,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Concentration Curl",,"",2,"normal",50,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Shrug (Dumbbell)",,"",0,"normal",160,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Shrug (Dumbbell)",,"",1,"normal",160,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Shrug (Dumbbell)",,"",2,"normal",160,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Rear Delt Reverse Fly (Cable)",,"",0,"normal",35,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Rear Delt Reverse Fly (Cable)",,"",1,"normal",45,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Rear Delt Reverse Fly (Cable)",,"",2,"normal",45,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Reverse Curl (Barbell)",,"",0,"normal",45,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Reverse Curl (Barbell)",,"",1,"normal",45,10,,,
"Pull 2","19 Dec 2025, 18:08","19 Dec 2025, 19:23","","Reverse Curl (Barbell)",,"",2,"normal",45,10,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Squat (Bodyweight)",,"Spanish Squat",0,"normal",,20,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Squat (Bodyweight)",,"Spanish Squat",1,"normal",,20,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Front Squat",,"",0,"normal",135,5,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Front Squat",,"",1,"normal",155,5,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Front Squat",,"",2,"normal",155,4,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Front Squat",,"",3,"normal",135,4,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Squat (Barbell)",,"",0,"normal",185,6,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Squat (Barbell)",,"",1,"normal",205,6,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Squat (Barbell)",,"",2,"normal",205,4,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Good Morning (Barbell)",,"",0,"normal",135,10,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Good Morning (Barbell)",,"",1,"normal",135,10,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Good Morning (Barbell)",,"",2,"normal",135,10,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Calf Press (Machine)",,"",0,"normal",270,10,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Calf Press (Machine)",,"",1,"normal",270,10,,,
